"Subject" "Activity" "aver"
1 "LAYING" -0.608081172054552
1 "SITTING" -0.633707235453001
1 "STANDING" -0.647464570427885
1 "WALKING" -0.319082678224279
1 "WALKING_DOWNSTAIRS" -0.289868778300235
1 "WALKING_UPSTAIRS" -0.411852232468114
2 "LAYING" -0.639987713945268
2 "SITTING" -0.640727678061708
2 "STANDING" -0.636528667860287
2 "WALKING" -0.385649482024761
2 "WALKING_DOWNSTAIRS" -0.242372591786928
2 "WALKING_UPSTAIRS" -0.363481736297548
3 "LAYING" -0.641545346335331
3 "SITTING" -0.623467100158378
3 "STANDING" -0.626974503909235
3 "WALKING" -0.386800009351938
3 "WALKING_DOWNSTAIRS" -0.332856510589389
3 "WALKING_UPSTAIRS" -0.424790672629904
4 "LAYING" -0.630924579836978
4 "SITTING" -0.627515151378519
4 "STANDING" -0.618906058667672
4 "WALKING" -0.423680176665383
4 "WALKING_DOWNSTAIRS" -0.346563053414867
4 "WALKING_UPSTAIRS" -0.413052113146453
5 "LAYING" -0.631796446111725
5 "SITTING" -0.627362018694393
5 "STANDING" -0.619173819375566
5 "WALKING" -0.379241920546639
5 "WALKING_DOWNSTAIRS" -0.282871351298122
5 "WALKING_UPSTAIRS" -0.352174554109217
6 "LAYING" -0.619404618936793
6 "SITTING" -0.625628016810156
6 "STANDING" -0.629359204555225
6 "WALKING" -0.331213758652223
6 "WALKING_DOWNSTAIRS" -0.18018393713368
6 "WALKING_UPSTAIRS" -0.327174382847872
7 "LAYING" -0.628247712381792
7 "SITTING" -0.629302617753506
7 "STANDING" -0.633815511502378
7 "WALKING" -0.32397842316743
7 "WALKING_DOWNSTAIRS" -0.304269031970825
7 "WALKING_UPSTAIRS" -0.423640184683859
8 "LAYING" -0.627256069706875
8 "SITTING" -0.638066572412459
8 "STANDING" -0.639809315686021
8 "WALKING" -0.312810475768612
8 "WALKING_DOWNSTAIRS" -0.19222080266983
8 "WALKING_UPSTAIRS" -0.307129557968573
9 "LAYING" -0.628341141257276
9 "SITTING" -0.628212046520611
9 "STANDING" -0.633800407014486
9 "WALKING" -0.371935201771012
9 "WALKING_DOWNSTAIRS" -0.29928312830005
9 "WALKING_UPSTAIRS" -0.420764353872138
10 "LAYING" -0.633723095961287
10 "SITTING" -0.640394561214698
10 "STANDING" -0.630906107291625
10 "WALKING" -0.325918404844934
10 "WALKING_DOWNSTAIRS" -0.239173805954169
10 "WALKING_UPSTAIRS" -0.340228563345566
11 "LAYING" -0.643608285750933
11 "SITTING" -0.636310414526361
11 "STANDING" -0.648409841428297
11 "WALKING" -0.434773856257211
11 "WALKING_DOWNSTAIRS" -0.333138760416591
11 "WALKING_UPSTAIRS" -0.433325063746023
12 "LAYING" -0.630133781743144
12 "SITTING" -0.636432716016836
12 "STANDING" -0.627558200703387
12 "WALKING" -0.34155340708617
12 "WALKING_DOWNSTAIRS" -0.295782744752152
12 "WALKING_UPSTAIRS" -0.418587730698458
13 "LAYING" -0.624402293590112
13 "SITTING" -0.638556863605263
13 "STANDING" -0.639317072584828
13 "WALKING" -0.323048046800745
13 "WALKING_DOWNSTAIRS" -0.314504828716931
13 "WALKING_UPSTAIRS" -0.418014091812239
14 "LAYING" -0.628567231791648
14 "SITTING" -0.640245618989013
14 "STANDING" -0.633939603325608
14 "WALKING" -0.397649772708456
14 "WALKING_DOWNSTAIRS" -0.230232165816338
14 "WALKING_UPSTAIRS" -0.3162976395237
15 "LAYING" -0.639991764084636
15 "SITTING" -0.641876551355809
15 "STANDING" -0.640123641513089
15 "WALKING" -0.393091459285213
15 "WALKING_DOWNSTAIRS" -0.261285454719578
15 "WALKING_UPSTAIRS" -0.382973632014459
16 "LAYING" -0.635970898746305
16 "SITTING" -0.642576373521998
16 "STANDING" -0.646592172043093
16 "WALKING" -0.434345104035608
16 "WALKING_DOWNSTAIRS" -0.329085385135475
16 "WALKING_UPSTAIRS" -0.443948282893054
17 "LAYING" -0.62995800261378
17 "SITTING" -0.643800768477521
17 "STANDING" -0.644718505083043
17 "WALKING" -0.391431392061526
17 "WALKING_DOWNSTAIRS" -0.350920250491366
17 "WALKING_UPSTAIRS" -0.397260255366534
18 "LAYING" -0.645049283236033
18 "SITTING" -0.650278849969862
18 "STANDING" -0.645554959726899
18 "WALKING" -0.436119293939015
18 "WALKING_DOWNSTAIRS" -0.433766528518555
18 "WALKING_UPSTAIRS" -0.471668629443868
19 "LAYING" -0.632992377905282
19 "SITTING" -0.639085552216514
19 "STANDING" -0.640179021538826
19 "WALKING" -0.222234211722867
19 "WALKING_DOWNSTAIRS" -0.0418675890046122
19 "WALKING_UPSTAIRS" -0.31925451547806
20 "LAYING" -0.644349182517554
20 "SITTING" -0.640093365554053
20 "STANDING" -0.620242869711171
20 "WALKING" -0.269380621559851
20 "WALKING_DOWNSTAIRS" -0.264292188346233
20 "WALKING_UPSTAIRS" -0.34196941435497
21 "LAYING" -0.631188075458122
21 "SITTING" -0.644818814881523
21 "STANDING" -0.638520358945664
21 "WALKING" -0.327486549441673
21 "WALKING_DOWNSTAIRS" -0.284764338647062
21 "WALKING_UPSTAIRS" -0.390988772179057
22 "LAYING" -0.632328785354836
22 "SITTING" -0.634344038308044
22 "STANDING" -0.63597532395474
22 "WALKING" -0.270442573595752
22 "WALKING_DOWNSTAIRS" -0.263247279704346
